job_title,company,job_url,company_postings,job_location,skills,apply_before,today
Data Engineering Manager,Cedar Gate Services,https://www.merojob.com/data-engineering-manager/,https://merojob.com/employer/cedar-gate-services-pvt-ltd/,"Lalitpur, Nepal", Interpersonal Skills Communication Sql Python Postgres ,Apply Before: 2 weeks from now,2023-05-25
System Engineer,WorldLink Communications,https://www.merojob.com/system-engineer-26/,https://merojob.com/employer/worldlink-communications/,Kathmandu, Cdn Bash/Perl/Python Firewall/Security Networking Skills Linux ,"Apply Before: 3 days, 11 hours from now",2023-05-25
Senior Software Engineer (Java),Cedar Gate Services,https://www.merojob.com/senior-software-engineer-java-18/,https://merojob.com/employer/cedar-gate-services-pvt-ltd/,"Lalitpur, Nepal", Communication Linux Angularjs Mysql Python Reactjs ,"Apply Before: 1 week, 5 days from now",2023-05-25
Security Engineer - SecOps,Logpoint Nepal,https://www.merojob.com/security-engineer-secops-2/,https://merojob.com/employer/logpoint-nepal/,"Jawalakhel ,Lalitpur", Analytical Skills Linux Python Windows Java ,"Apply Before: 6 days, 11 hours from now",2023-05-25
Senior Software Engineer (Python),Logpoint Nepal,https://www.merojob.com/senior-software-engineer-python-27/,https://merojob.com/employer/logpoint-nepal/,"Jawalakhel ,Lalitpur", Analytical Skills Python Programming Language Web Development Teamwork ,"Apply Before: 6 days, 11 hours from now",2023-05-25
IT Engineer,Cedar Gate Services,https://www.merojob.com/it-engineer-33/,https://merojob.com/employer/cedar-gate-services-pvt-ltd/,"Lalitpur, Nepal", Analytical Skills Communication Linux Python Windows Server Operating System ,"Apply Before: 1 day, 11 hours from now",2023-05-25
Associate Software Engineer (Java/ React),Cedar Gate Services,https://www.merojob.com/associate-software-engineer-java-react-2/,https://merojob.com/employer/cedar-gate-services-pvt-ltd/,"Lalitpur, Nepal", Analytical Skills Communication Html Css Git Python Nodejs React ,Apply Before: 11 hours from now,2023-05-25
Senior Backend Developer (Django/Python),NsDevil,https://www.merojob.com/senior-backend-developer-11/,https://merojob.com/employer/nsdevil/,Kupandole Lalitpur, Backend Developer Python Django ,"Apply Before: 2 days, 11 hours from now",2023-05-25
Data Engineer,Codavatar,https://www.merojob.com/data-engineer-30/,https://merojob.com/employer/codavatar/,"New Baneshwor, Kathmandu", Python Collaboration Analytical Problem Solving ,Apply Before: 11 hours from now,2023-05-25
Research Associate (Water Resource),Nepal Development Research Institute,https://www.merojob.com/research-associate-water-resource/,https://merojob.com/employer/nepal-development-research-institute/,"manbhawan, Lalitpur", Good Communication Team Work Data Analysis Python ,"Apply Before: 1 day, 11 hours from now",2023-05-25
ML/AI Engineer,NsDevil,https://www.merojob.com/mlai-engineer/,https://merojob.com/employer/nsdevil/,"Kupandole, Lalitpur", Data Analysis Python ,"Apply Before: 5 days, 11 hours from now",2023-05-25
Backend Developer (Python/Django),NsDevil,https://www.merojob.com/backend-developer-pythondjango/,https://merojob.com/employer/nsdevil/,"Kupandole, Lalitpur", Html Jquery Css Javascript Django Framework Python ,"Apply Before: 2 days, 11 hours from now",2023-05-25
